item,CFeature0,CFeature1,CFeature2,CFeature3,CFeature4,CFeature5,CFeature6,CFeature7,CFeature8,CFeature9,CFeature10,CFeature11,CFeature12,CFeature13,CFeature14,CFeature15
BD0101EN,-0.017770253,-0.012420285,0.0056020836,-0.007885777,0.018818565,0.0035357703,0.016483547,0.0047736582,0.0051669464,0.016063398,-0.003970045,-0.0035479385,-0.023188634,0.01779544,-0.031693146,-0.025433123
BD0111EN,0.011945352,0.0064656814,-0.0045315195,-0.019738177,0.006490792,0.007018243,0.0017627144,-0.022606062,-0.019159788,-0.008209479,0.008974294,0.015636427,0.015664294,-0.0014499098,-0.011740173,0.022749044
BC0201EN,0.011063412,-0.018775374,0.0056855045,-0.028355109,0.0026183978,0.042711135,0.017261254,-0.01087572,-0.009136554,-0.050769255,1.9364234e-07,-0.005757198,-0.012665075,-0.031726282,-0.004816468,-0.009104675
ML0122ENv1,0.005918747,0.008950323,-0.022878224,0.016716724,0.03359786,-0.01100724,0.0142423045,0.0072332094,0.008404427,0.009086128,0.02979103,0.027300868,0.00862289,0.021326395,0.054260425,-0.023705514
BD0131EN,-0.023598386,-0.026705349,0.011062759,-0.013778008,-0.0025225105,0.0065769525,0.00686706,0.0015709163,0.012426807,-0.029303802,-0.009577178,0.013303914,-0.026610918,-0.0270669,-0.009145127,0.021057602
BD0121EN,-0.0016116706,-0.02937832,0.03292879,0.017455881,0.004910683,-0.005593634,0.028192995,-0.025079915,-0.0018041347,-0.0025106475,-0.010855116,-0.014502932,0.0236228,-0.008234789,0.033478793,0.008287234
PY0101EN,-0.012057562,-0.0018640831,0.0031271793,0.011207106,0.015053509,-0.0009304769,-0.006245534,-0.001484724,0.0070645395,-0.0031299968,0.0072945,-0.00065716304,0.0061519886,-0.0014893365,0.015252932,0.00012246535
BD0145EN,0.0009537359,0.03187982,-0.009073444,-0.00093756744,-0.008744453,0.05224002,-0.0015529636,0.018804474,-0.019264976,-0.030939298,0.00016157108,-0.028392134,-0.008864633,-0.026532998,-0.013130593,-0.014342554
ML0101EN,0.001271749,0.0016021646,0.0045284573,0.0021763893,0.027758071,-0.005397782,0.0022072464,-0.00995266,-0.014866149,0.04078604,0.038218055,-0.019892422,-0.0010346633,0.024182543,-0.030056816,0.016402215
CO0301EN,0.017386034,-0.013252307,-0.00739673,-0.0075910464,-0.0005798628,-0.030082526,-0.018109692,-0.032120597,0.012977459,-0.007296983,0.005232468,0.0054773437,-0.0057154046,0.02986188,-0.0014903835,0.0038310252
ML0101ENv3,-0.019214751,-0.012724647,0.02096786,0.004518974,0.009108292,-0.006390026,-0.0017609056,0.03924625,-0.0019282787,-0.020501502,-0.008665605,0.02441445,-0.0020079543,-0.0114144115,-0.00044748865,-0.019301206
DB0151EN,-0.004858461,0.026721265,-0.032068796,-0.012581046,-0.05419172,-0.03426291,0.026397703,0.042502865,-0.008888747,-0.002592195,0.038246702,-0.004580227,-0.009920622,0.0302884,0.012106761,-0.0055463472
CO0101EN,-0.014063577,0.009607158,0.010975103,0.0060599293,-0.0022453116,-0.013015229,-0.016881352,0.030826772,0.025394991,-0.00072884123,0.0029543696,-0.015251097,0.015999358,0.022739345,0.004916588,0.03673145
RP0101EN,-0.024247905,0.031866126,0.0031791672,0.0137652755,0.0027617456,0.008026942,-0.003024705,-0.006110237,0.008233985,-0.0070154127,0.015021814,0.008995451,-0.009275119,-0.012422346,0.006646326,0.028735401
SC0101EN,-0.017964086,0.015474457,-0.0058094524,-0.0485685,-0.0005698576,-0.00015818758,-0.028909555,0.024889814,-0.003997701,0.018419312,0.0006772128,-0.017361984,0.02267815,0.012831842,0.001488855,-0.029348368
PA0101EN,-0.0020484456,0.008442578,0.019652046,0.03246623,0.01957509,-0.008940152,0.021884048,-0.0297578,0.005181952,0.004418479,-0.014707287,0.0018828014,-0.03480661,-0.046182714,-0.0051413183,0.021878837
LB0101ENv1,0.013221568,0.019851234,-0.08094292,0.0009788701,0.0048998534,0.02461436,0.0019461142,-0.047305264,0.001166827,0.010298305,-0.0044827596,0.008110838,-0.0037571627,-0.0065466226,0.011159266,0.013933084
ML0103EN,0.019240376,-0.033795856,-0.016862093,0.0103450185,-0.009078458,0.013124283,-0.013198972,-8.1499624e-05,0.028522212,-0.010622698,0.0011475825,-0.00042053603,0.01098088,0.006474631,0.008411125,-0.026625628
CC0150EN,-0.030874725,-0.051956423,0.017813202,-0.0030787918,-0.020451711,-0.023528704,-0.043643434,0.044873886,0.035673466,0.005231185,0.01258537,-0.011128572,-0.0077661015,-0.019722464,0.025750073,-0.038106143
DS0110EN,-0.01848106,-0.021031499,-0.04471601,-0.006255426,0.024268378,-0.015295536,-0.04389131,-0.014778427,-0.023839401,-0.00924875,-0.02366755,0.022282096,0.020134948,0.032684393,0.0039883195,0.0091383075
DA0101EN,0.0036001739,-0.006862089,-0.008095204,0.017432746,-0.0023650327,-0.026998706,0.020397933,0.019642102,-0.0023453848,-0.00029270136,0.012880211,0.01697342,0.002134857,0.010545587,-0.0019382637,-0.00961172
ML0122EN,0.07242904,-0.043130044,-0.014412023,-0.012577265,0.026057614,0.06820228,-0.0059736497,-0.05683174,-0.005690907,0.004216858,0.033577096,-0.0407888,0.007821512,0.020654624,0.005295612,-0.06510953
ML0115EN,0.006289677,0.020959307,-0.023875354,-0.018180558,0.008359017,0.0066980086,0.009620731,-0.025941418,0.008622753,-0.0307895,-0.018937264,0.0020543581,-0.01903691,-0.0015839268,0.0070075174,0.018696666
ML0111EN,-0.045122836,0.006694336,-0.037829995,-0.013787171,0.016683389,0.01828534,-0.012270404,0.04001464,0.026742777,0.015967194,-0.0035844576,-0.011372474,0.025722805,-0.009079688,0.00024430477,-0.024290908
ML0109EN,-0.001833121,-0.01851133,0.029776374,-0.018400768,0.011509802,-0.014017915,-0.038738757,0.02690508,-0.008733486,0.00031695596,0.0054605333,0.008381582,0.013328835,-0.005571641,0.023161259,-0.0041725067
BD0223EN,0.005492085,-0.011789221,-0.03461353,0.003990799,-0.03213049,-0.017521862,-0.045598064,0.022555418,-0.0052588955,0.033251468,-0.0011216961,-0.023860315,0.035748273,-0.011251644,-0.0035573267,0.017833982
BC0202EN,0.008475254,-0.0063314573,0.038386937,-0.044283252,-0.00094850105,0.0042790994,-0.0037607695,0.008805092,0.023522476,-0.061717365,0.051000513,0.012202609,-0.012828462,-0.021464918,-0.021040102,0.016839169
CC0103EN,0.01026112,0.014915319,-0.018725973,-0.016454056,-0.018395804,-0.026942763,0.0054490073,-0.029975811,0.004492163,0.0001418718,-0.012544719,-0.0030230996,0.0030584058,-0.009892471,-0.0299352,0.004706548
COM001EN,0.010928163,-0.023743737,0.06990657,-0.009799405,0.033802066,0.025986321,0.026206348,-0.057235908,-0.0028449881,0.016917218,0.03215187,-0.00829649,0.023075474,-0.013090084,0.0048907343,0.011443408
DB0101EN,0.017523013,-0.016382026,0.008013684,0.0032814369,-0.020292481,-0.0029110292,-0.020485178,0.005215469,0.017635211,0.021752687,0.019648148,-0.007549176,0.04315997,-0.009321986,-0.010057223,0.02375012
CNSC02EN,0.039041933,0.0040938403,-0.020116802,-0.01651089,-0.016815983,-0.03565894,0.0020406004,-0.005339233,0.012960085,-0.004888247,0.010139956,0.017232906,0.029322647,-0.0074736755,0.00074136804,-0.021341912
DV0151EN,0.007070588,-0.008427346,-0.004493157,-0.02463265,0.019507384,0.0063884007,-0.019462582,0.014885085,0.008360253,0.020499518,-0.0001687566,-0.013643064,0.021248465,-0.021955112,0.00096451445,0.00013750447
RP0105EN,0.01584107,-0.008674441,0.04325092,-0.0017824711,0.043768287,-0.00023647607,0.0013454389,0.004064008,-0.028181467,0.005544374,0.0077685313,-0.016309628,0.006390987,0.012473953,-0.01738109,0.02457869
LB0109ENv1,-0.05229674,-0.0031635496,-0.0024023028,0.024411965,-0.04086859,-0.015577273,-0.016401399,0.0009078265,-0.0097653745,-0.032450356,0.019837644,0.018315798,0.014237624,-0.024089366,0.022647511,-0.0091984365
SC0105EN,-0.04798153,-0.030434363,-0.0016426725,0.018608373,-0.012242804,-0.019225098,0.024450753,-0.021855086,0.07625589,-0.004344699,-0.012458946,-0.015200345,0.016222162,0.0025676605,0.0045601735,0.03561832
RP0103,0.003971404,-0.0044978154,-0.00074686715,-0.039155874,-0.0067300308,0.034607723,0.03355732,0.018373648,-0.05164033,-0.038667306,-0.011036242,-0.02240201,-0.008346931,0.011213528,-0.039168183,-0.0040142643
WA0101EN,0.019510416,0.026354795,-0.0052332855,0.03072276,0.015694277,-0.016007006,-0.006225808,-0.021350726,-0.0005976172,0.0127856275,-0.0066809305,0.043112904,-0.003767172,0.010698048,0.017757913,0.016793692
RAVSCTEST1,0.023795087,-0.050589453,-0.010318682,0.08407512,0.0053935624,0.09580149,-0.0179729,0.0019105822,-0.05735539,-0.019570917,-0.0445623,-0.035187345,-0.05584583,-0.01377351,-0.023347266,-0.015552871
RP0151EN,0.04046556,-0.035680395,-0.028087154,0.010624495,0.0053861225,-0.03154462,0.024654975,0.016654328,0.009191454,0.009900395,-0.021316785,-0.020942794,0.046199907,0.004928376,0.048167452,-0.07249465
CO0401EN,-0.008071958,-0.009447781,0.04470088,0.012817119,-0.010231985,-0.030201837,-0.0076374193,0.0019100143,-0.018752515,-0.0035231304,0.01964701,0.014741151,0.009291453,0.028435094,-0.012859776,0.00792597
SC0103EN,0.0042819954,0.011588852,0.0021128124,0.0026331523,0.005575438,-0.020458292,0.009191737,0.0076073883,0.010888941,0.00023853226,0.0020920946,0.03628548,-0.017196653,0.013630619,-0.018884808,-0.0028582194
LB0111EN,0.045138292,0.011203992,-0.012267222,0.0026870258,-0.0126380185,0.024466168,-0.0075414707,-0.0050231423,-0.030568283,-0.011896,-0.008686963,-0.0029019602,0.0060758227,-0.041390896,0.008653452,-0.022256201
DS0132EN,-0.0071466584,-0.020435935,-0.009757281,-0.011411529,-0.017987315,-0.12914455,-0.0017457119,-0.022635775,0.02205031,-0.025240945,0.015353793,-0.045377694,0.039746948,0.049602978,0.09678357,0.052661274
CB0105ENv1,-0.0063092518,0.029949253,-0.00087028084,-0.030567518,-0.032244228,0.011450044,-0.0048141163,0.032963317,-0.018020147,0.013813362,-0.04899474,0.009752868,-0.019230267,-0.042314302,-0.022855168,0.008192473
CC0201EN,-0.009422653,0.006834447,0.005829748,-0.004037955,-0.018224249,0.034895133,-0.041066617,0.034256265,0.023584142,-0.0039229146,0.0025352756,-0.029912187,0.023141317,0.0036996806,0.0004007318,-0.0033411665
ML0120ENv2,0.016609743,-0.030829761,0.02056151,-0.02163355,0.022069244,-0.013117843,0.0038119406,-0.0036428568,0.009440111,0.006380434,0.0048798393,0.028579056,0.020873087,-0.005636713,0.027627638,-0.0064942013
BD0143EN,0.00497287,-0.008842962,-0.0009419603,0.009757035,-0.004737882,-0.009064669,-0.017410694,0.03740778,-0.004342434,0.037536945,0.005335098,0.026533175,-0.01630322,0.0041000545,-0.05068829,-0.034093205
LB0105ENv1,-0.02758366,0.03608502,0.04181518,-0.0019537813,0.002819917,-0.03431854,0.0073609743,-0.031355906,0.00041910875,0.0025705744,-0.04477434,-0.003349037,0.07192261,0.0006858404,-0.02120073,0.019264119
ML0201EN,0.04144476,-0.023019597,-0.00065953506,0.061587837,-0.0030123761,-0.00042826158,-0.0039122202,-0.040303167,-0.051358145,-0.023503473,-0.017809432,0.033282638,0.008646706,0.030756606,-0.004942627,-0.034429315
BD0115EN,-0.02956552,-0.0006799118,-0.021063084,0.007405995,-0.0025610414,-0.002058365,0.005813732,0.008304845,-0.0018592002,-0.0012415166,-0.007986986,0.017240252,-0.0041873674,-0.007987117,0.013083488,0.011401854
BD0221EN,0.015111578,-0.04445362,0.008454352,-0.00934898,0.03492827,0.01849731,0.0011271363,-0.042720806,-0.020003894,-0.0041595935,-0.022699008,-0.054916445,-0.011229648,-0.037941717,-0.016476816,0.016039947
ML0120EN,0.033029124,-0.014628246,-0.046266366,0.008485775,-0.0007780337,0.010775926,-0.039393086,0.010174336,0.02593245,0.015070473,0.026435517,-0.034269273,0.032754097,-0.020586165,-0.0029496714,-0.0005512243
BD0137EN,0.0071328473,-0.0053110556,0.0009592172,0.024635578,-0.005584362,0.024561659,-0.007124835,-0.030571274,0.050432283,-0.023537517,0.033884376,0.026509544,-0.02814139,-0.011901549,-0.028214844,-0.026575012
DAI101EN,0.050949268,-0.028731959,0.018259414,0.05734299,-0.0049597365,-0.0024909775,0.02290919,0.027948834,-0.012525372,0.031644948,-0.043468945,-0.032638237,0.018489782,0.00018933168,0.015130186,-0.01867189
RP0103EN,0.010491146,0.039785113,-0.006737125,-0.00026737613,-0.008713367,0.00032034365,0.020952437,-0.046922076,-0.0025479181,0.013133159,0.0048694527,0.0011324974,-0.047731284,-0.015818825,-0.020985648,0.02267407
BD0212EN,0.033995967,0.007975131,-0.023211641,-0.0003755907,0.028055457,0.016703933,0.011389536,0.0087808715,-0.008554557,0.00038734352,-0.016072826,0.009227915,0.01544952,-0.06373491,-0.0057499516,0.018147985
BD0135EN,-0.009862467,0.014345396,0.009404333,-0.022487061,0.02454535,0.0070661115,-0.009435003,-0.014446808,0.01820951,0.022915935,0.026433004,0.05944233,0.008004197,-0.018985258,0.006480323,-0.02993429
CC0250EN,-0.00046773802,0.0063262796,0.0023355014,0.005587775,-0.038783167,-0.019587459,-0.012691735,-0.011643599,0.0064874366,0.03521619,-0.021235798,0.00091944885,-0.0009312193,-0.025273021,0.02000196,-0.027973888
TA0105,-0.015159893,0.0054537132,-0.022068346,-0.0146074975,-0.012053613,0.011833421,0.016103895,0.033341456,0.008172122,-0.01999877,-0.0060550086,-0.029496545,0.034465455,-0.007608683,-0.0011256725,0.003800723
DS0321EN,0.004446704,-0.01363134,-0.043735635,-0.048379473,-0.008912345,0.05185828,-0.012879873,0.0076862173,0.0058273585,0.04490559,-0.018451061,0.023601552,0.06296209,-0.029803613,-0.004173841,0.017640984
BD0133EN,-0.035803214,0.062623985,-0.007899355,-0.017763687,-0.059367012,0.016788889,-0.022130843,-0.032893997,0.023035463,-0.01855802,-0.021596802,0.005742534,-0.009281888,-0.051305395,-0.027457794,0.014716447
LB0107ENv1,0.042458545,-0.022164347,0.020851519,-0.0075388057,0.016975716,0.00017451617,0.026085299,0.023908516,-0.015020102,0.018504195,-0.033117298,0.041930195,-0.026071476,0.011439279,0.015817516,-0.013198531
ML0122ENv3,0.025392452,0.011401355,0.04531772,-0.017698457,-0.04671572,0.010067196,-0.03545423,0.019444084,-0.013349767,0.027759131,0.06559357,-0.056671042,0.02512674,0.02485692,-0.08703174,-0.006469747
SECM03EN,0.0039166287,0.026981024,0.012075592,-0.0011201606,0.012725454,0.012010406,0.018347347,0.050802946,0.010459033,-0.045846783,0.021260092,0.01791893,-0.014583945,0.048312545,-0.03150028,-0.0521747
TMP0105EN,0.021416478,0.06471668,0.003371132,0.024663651,-0.064076446,-0.00021548531,-0.021764508,0.003571503,0.041503295,-0.003478303,-0.04062257,0.04519907,-0.06452798,-0.05613926,-0.004031969,0.008402954
BD0151EN,-0.025347112,0.081738606,-0.019412898,0.028531315,-0.05532701,-0.012717532,0.028755927,-0.060217887,-0.04007808,-0.034282003,-0.015943278,0.03568271,0.018440427,-0.029793762,-0.0031163837,0.031424236
PA0109EN,-0.0030889257,-0.019349312,-0.041260786,-0.05719872,-0.044267837,-0.026942933,0.050495744,0.0023296883,0.06252767,0.013116857,0.04106556,0.029161165,0.02603419,0.045357343,0.04514773,-0.007424771
DJ0101EN,0.015517182,-0.018072901,-0.008130526,0.012394445,-0.017979272,0.031813495,0.07336702,0.027588405,0.02614844,0.0018616953,0.017827189,0.032850858,0.0666191,-0.0010349223,0.016492154,0.0028055087
CP0101EN,0.0024450368,0.018451912,-0.03359966,-0.014322306,-0.041554596,-0.0237588,-0.0059917765,0.037454564,-0.0007312598,0.052852962,-0.040946778,-0.019733215,-0.02889035,0.02359366,0.027650204,0.0054191328
CB0101EN,0.024289029,0.07021867,0.0065922034,-0.014491445,-0.037512004,-0.052376024,0.019282423,-0.016312117,-0.011340263,-0.010926732,0.050586585,0.0260826,0.0071759084,0.04386269,-0.03946669,0.01894898
EE0101EN,0.018663142,0.009369611,-0.039901756,-0.034249272,0.0031670884,-0.013177122,0.002266,0.0071978504,-0.018283708,0.0034852768,0.030384427,-0.060543656,-0.019029776,0.02422433,-0.01900036,0.012003805
CC0210EN,-0.051952425,-0.017193131,-0.016469844,-0.008176838,0.0014638188,-0.047444616,-0.047968745,0.023618316,0.040155973,-0.025917713,-0.0030661798,0.008042639,-0.008162241,0.024669565,0.03647242,0.08531006
AI0111EN,0.045500595,0.017642489,-0.009481316,0.038174987,0.0154956635,0.022402847,0.028130744,0.016653776,0.03556558,-0.01585519,0.0033431656,0.033001397,0.02522116,0.009732548,-0.004765997,-0.03307718
DW0101EN,-0.039754912,-0.0023368944,-0.013301114,0.012124106,0.025806572,0.004527893,-0.016084962,0.004631876,0.004514396,-0.03944228,-0.0074110455,-0.0049870834,-0.014330074,-0.005630692,0.02456691,0.022490678
HCC105EN,0.005914365,0.019369945,-0.065970495,-0.03462099,-0.0030627896,-0.027495973,-0.04725803,-0.033050664,-0.008251254,0.003189149,0.0073004756,0.0036318202,0.021148749,-0.023005791,-0.007997768,-0.005796732
LB0103ENv1,0.035380147,-0.006936222,-0.052084174,-0.010042418,0.018023858,0.0054191127,-0.013605089,-0.0019611735,-0.035901785,-0.008047605,-0.027468145,0.023691945,0.02715655,0.0025205738,-0.05324287,0.03468066
SW0101EN,-0.024793208,0.027649306,0.010065208,0.04586101,0.010679151,0.024412995,-0.042226266,0.023509547,-0.012485656,-0.0013477308,0.0030363572,0.0030781503,-0.025453577,-0.0021395928,0.02159774,0.0125046065
DS0201EN,-0.030168775,-0.015972497,-0.008350547,-0.017579718,-0.019504253,0.0052541536,-0.01754708,0.014086251,0.026041206,0.029588128,-0.044401802,-0.002260709,0.027141891,-0.014293001,0.020299928,0.0031690989
HCC104EN,-0.0063854614,0.016933398,0.047143806,0.014638514,-0.02167773,-0.01840775,0.0050066053,-0.042766254,-0.07341895,0.018645193,0.028295206,0.034199484,0.020192236,-0.017604843,0.0061155176,0.017806513
SW0201EN,0.04322118,0.051335547,-0.04365958,0.04542357,0.009086235,-0.0038376716,-0.004865912,0.054337677,0.033849325,0.0015648755,0.05576884,0.0039647417,4.6906564e-05,0.049174994,-0.013002314,0.0128324
TA0106EN,0.031756025,0.02162698,0.0246193,-0.0054531405,-0.006120786,-0.018481636,-0.033065423,0.030943008,-0.0013329842,-0.061794315,-0.014505994,0.0075648916,-5.5389362e-05,-0.03827029,0.06656181,0.0006198286
DE0205EN,-0.011394898,0.010383607,0.063665606,0.036326922,-0.048993338,-0.015664212,0.030062916,-0.0052427566,0.036493726,-0.0029679388,0.0041607083,0.023584427,-0.0364247,-0.064706326,-0.0003325671,-0.026717454
IT0101EN,0.0048337546,-0.006034356,0.015785422,-0.06318152,0.04388231,-0.0074414504,0.0025646577,0.035656687,0.021355832,0.034878455,-0.017657394,-0.00078530336,0.015244672,0.0036924565,0.022453291,-0.015422369
OS0101EN,-0.016013088,0.03061583,0.06743413,-0.08593067,-0.0040023103,0.031761106,0.03340612,0.006195347,0.019265663,-0.038047124,-0.023046004,0.012059507,0.010947842,0.0040564253,0.03202845,-0.04262761
BD0153EN,0.008894481,-0.01205537,-0.023980586,0.0024188568,-0.018361162,-0.034061212,0.0048273113,-0.01636584,0.010579981,0.00614617,0.01806471,0.04660994,0.0464594,-0.02970291,0.0066251564,-0.005008331
WA0103EN,-0.050165847,0.08438813,-0.016176106,-0.025227418,0.03119162,0.028928757,-0.036288615,-0.03306484,-0.0043936507,0.013363086,-0.045749802,-0.0016535866,-0.049262516,0.012301959,0.04852361,-0.01956907
DP0101EN,0.012402848,0.015478738,0.0016501528,-0.014055767,-0.04134637,0.009402905,-0.013476324,-0.04163898,-0.024160605,-0.03920756,-0.012472901,0.071879916,-0.03681613,0.020148927,-0.08440269,0.025211317
TMP0106,0.063990615,-0.0613185,-0.03088138,-0.062416796,-0.056148678,0.02369084,-0.021014584,-0.035745017,0.060558453,0.010692007,-0.0066765514,-0.0056051845,0.07230924,-0.02124444,0.0065108333,-0.014524193
CB0201EN,-0.0251765,0.030950325,-0.08086879,-0.033385158,-0.0020840291,0.00604244,0.014145969,-0.041550662,-0.047372915,-0.031858433,-0.0039225966,-0.061990473,0.025445813,0.021940464,-0.07045523,0.04273865
GPXX0T0FEN,0.027746743,-0.007604538,-0.052450713,0.053986147,-0.06662197,-0.00683927,0.07154072,0.025815358,-0.0043234946,-0.07029524,0.006440783,0.010971699,0.010186836,0.09377168,-0.0040703425,-0.021499528
DB0111EN,-0.011932868,-0.030560624,-0.052542064,0.017348194,0.0401496,-0.038337868,-0.04456981,0.017885856,0.043615904,-0.03395323,-0.098032035,0.031990618,0.02362452,0.052866377,0.020873902,0.026731808
PHPM002EN,-0.022207279,0.012023107,-0.011528755,0.051612742,-0.00969899,0.020624029,0.0051926808,0.02270337,-0.018855223,0.0053523676,0.049316883,-0.05137303,-0.007672767,0.01679991,-0.05113822,0.056085143
TMP107,-0.0055995733,0.016625177,-0.014566289,0.06931895,0.0148930475,0.0147132175,0.0043633212,-0.016272957,0.008292787,-0.046444677,0.03760738,-0.0027738034,0.057919215,-0.0025412878,-0.023505727,-0.0021103483
DA0201EN,0.025675813,0.04317525,0.0028091732,-0.00053006667,-0.028407803,-0.06249531,-0.036247887,-0.0045494735,0.02045145,0.004234091,0.014709429,0.06980751,0.004558762,0.0064549795,0.032899488,0.080459796
ST0201EN,0.028180804,-0.025321415,-0.010024473,0.02767963,-0.03513008,-0.038244322,0.047902245,0.012309816,0.018656207,0.03182853,-0.039582126,-0.0068657305,0.016867891,-0.007630266,0.025115617,-0.046416294
DX0106EN,0.010622821,-0.01208512,-0.017203955,0.017255343,-0.015853249,-0.018449478,0.020874651,-0.025865622,-0.013434577,0.013905167,0.013870126,0.0058279512,0.034891073,0.020055316,-0.014248491,0.015117407
CC0271EN,0.062392343,0.004444154,-0.016546892,-0.06924445,0.0024129315,0.067524046,-0.078734264,-0.038131088,0.061795536,-0.02296578,-0.06530455,0.014708593,0.122545764,0.039204426,0.028433863,0.04633286
DX0107EN,0.080000296,-0.014617628,-0.02004115,-0.06710112,0.043771863,0.06437606,0.014573905,0.023242837,-0.04451779,0.026911303,-0.029606173,0.018992405,-0.023939596,-0.053110808,-0.015009177,-0.020262301
BENTEST4,-4.335227e-30,-4.4059514e-30,-4.403703e-30,4.4122442e-30,-4.3571746e-30,-4.3956007e-30,-4.3286457e-30,4.329354e-30,-4.3466618e-30,4.3311524e-30,-4.4129506e-30,4.4231148e-30,-4.4270716e-30,-4.336472e-30,4.372899e-30,4.348241e-30
PA0107EN,-0.0076204888,0.026108997,-0.017385488,0.091767706,0.04194821,0.039531104,-0.03474256,0.055189617,-0.04067999,0.012249138,-0.016168961,-0.025249738,0.036607392,-0.09397263,-0.05771464,-0.015531124
PA0103EN,0.051606003,0.060234386,0.12195146,-0.054077916,0.059125658,0.054975644,-0.0077402224,0.024819853,0.07501526,-0.056979734,0.070118554,0.10055826,-0.10357374,0.024235668,0.07735524,-0.10040511
DA0151EN,0.06326983,0.028393174,-0.013012696,0.045672238,-0.0093675675,0.011712296,0.08818368,0.022643618,-0.010540979,-0.026253987,0.028455717,0.05413182,-0.044050336,0.026071258,-0.043338746,-0.024905879
ST0301EN,-0.03555721,-0.007210001,-0.010338343,-0.028140992,0.021743974,-0.031961445,0.018753655,0.06637001,0.051235992,-0.05195066,-0.015856879,0.038551647,-0.0035944895,0.019549169,-0.040126853,0.04962738
