dteday,cnt
2011-01-26,28
2011-01-26,41
2011-01-26,48
2011-01-26,47
2011-01-26,36
2011-01-26,43
2011-01-26,36
2011-01-26,26
2011-01-27,24
2011-01-27,84
2011-01-27,104
2011-01-27,79
2011-01-27,59
2011-01-27,38
2011-01-27,27
2011-01-27,16
2011-01-28,9
2011-01-28,3
2011-01-28,2
2011-01-28,1
2011-01-28,4
2011-01-28,16
2011-01-28,60
2011-01-28,157
2011-01-28,101
2011-01-28,49
2011-01-28,30
2011-01-28,29
2011-01-28,31
2011-01-28,38
2011-01-28,41
2011-01-28,80
2011-01-28,149
2011-01-28,109
2011-01-28,89
2011-01-28,62
2011-01-28,58
2011-01-28,26
2011-01-28,23
2011-01-29,28
2011-01-29,20
2011-01-29,15
2011-01-29,8
2011-01-29,3
2011-01-29,2
2011-01-29,5
2011-01-29,34
2011-01-29,34
2011-01-29,55
2011-01-29,64
2011-01-29,78
2011-01-29,65
2011-01-29,99
2011-01-29,120
2011-01-29,107
2011-01-29,91
2011-01-29,68
2011-01-29,58
2011-01-29,43
2011-01-29,36
2011-01-29,32
2011-01-29,33
2011-01-30,33
2011-01-30,29
2011-01-30,11
2011-01-30,8
2011-01-30,1
2011-01-30,3
2011-01-30,3
2011-01-30,12
2011-01-30,38
2011-01-30,64
2011-01-30,59
2011-01-30,97
2011-01-30,84
2011-01-30,122
2011-01-30,109
2011-01-30,123
2011-01-30,77
2011-01-30,65
2011-01-30,55
2011-01-30,33
2011-01-30,28
2011-01-30,21
2011-01-30,21
2011-01-31,7
2011-01-31,7
2011-01-31,1
2011-01-31,2
2011-01-31,2
2011-01-31,8
2011-01-31,37
2011-01-31,72
2011-01-31,185
2011-01-31,112
2011-01-31,69
2011-01-31,48
2011-01-31,68
2011-01-31,54
2011-01-31,86
2011-01-31,44
2011-01-31,86
2011-01-31,161
2011-01-31,156
2011-01-31,111
2011-01-31,78
2011-01-31,56
2011-01-31,34
2011-01-31,17
2011-02-01,8
2011-02-01,3
2011-02-01,2
2011-02-01,2
2011-02-01,3
2011-02-01,22
2011-02-01,52
2011-02-01,135
2011-02-01,116
2011-02-01,47
2011-02-01,51
2011-02-01,55
2011-02-01,52
2011-02-01,54
2011-02-01,52
2011-02-01,64
2011-02-01,176
2011-02-01,168
2011-02-01,108
2011-02-01,74
2011-02-01,64
2011-02-01,36
2011-02-01,16
2011-02-02,2
2011-02-02,3
2011-02-02,4
2011-02-02,1
2011-02-02,1
2011-02-02,3
2011-02-02,18
2011-02-02,49
2011-02-02,155
2011-02-02,123
2011-02-02,61
2011-02-02,52
2011-02-02,64
2011-02-02,75
2011-02-02,63
2011-02-02,76
2011-02-02,103
2011-02-02,190
2011-02-02,182
2011-02-02,91
2011-02-02,75
2011-02-02,63
2011-02-02,40
2011-02-02,32
2011-02-03,12
2011-02-03,5
2011-02-03,2
2011-02-03,1
2011-02-03,2
2011-02-03,39
2011-02-03,87
2011-02-03,188
2011-02-03,133
2011-02-03,52
2011-02-03,64
2011-02-03,69
2011-02-03,51
2011-02-03,47
2011-02-03,60
2011-02-03,78
2011-02-03,175
2011-02-03,147
2011-02-03,96
2011-02-03,109
2011-02-03,54
2011-02-03,41
2011-02-03,38
2011-02-04,13
2011-02-04,7
2011-02-04,1
2011-02-04,1
2011-02-04,7
2011-02-04,28
2011-02-04,87
2011-02-04,220
2011-02-04,127
2011-02-04,51
2011-02-04,64
2011-02-04,86
2011-02-04,82
2011-02-04,91
2011-02-04,90
2011-02-04,99
2011-02-04,205
2011-02-04,155
2011-02-04,103
2011-02-04,71
2011-02-04,43
2011-02-04,46
2011-02-04,31
2011-02-05,39
2011-02-05,18
2011-02-05,17
2011-02-05,11
2011-02-05,8
2011-02-05,9
2011-02-05,4
2011-02-05,4
2011-02-05,10
2011-02-05,20
2011-02-05,34
2011-02-05,47
2011-02-05,52
2011-02-05,72
2011-02-05,55
2011-02-05,60
2011-02-05,71
2011-02-05,78
2011-02-05,83
2011-02-05,84
2011-02-05,69
2011-02-05,56
2011-02-05,45
2011-02-05,59
2011-02-06,39
2011-02-06,44
2011-02-06,20
2011-02-06,13
2011-02-06,2
2011-02-06,1
2011-02-06,1
2011-02-06,8
2011-02-06,23
2011-02-06,45
2011-02-06,89
2011-02-06,117
2011-02-06,174
2011-02-06,182
2011-02-06,161
2011-02-06,182
2011-02-06,157
2011-02-06,121
2011-02-06,78
2011-02-06,21
2011-02-06,26
2011-02-06,27
2011-02-06,62
2011-02-06,30
2011-02-07,15
2011-02-07,5
2011-02-07,3
2011-02-07,1
2011-02-07,2
2011-02-07,10
2011-02-07,30
2011-02-07,95
2011-02-07,230
2011-02-07,118
2011-02-07,55
2011-02-07,47
2011-02-07,66
2011-02-07,64
2011-02-07,60
2011-02-07,50
2011-02-07,114
2011-02-07,216
2011-02-07,175
2011-02-07,128
2011-02-07,88
2011-02-07,78
2011-02-07,37
2011-02-07,25
2011-02-08,10
2011-02-08,4
2011-02-08,2
2011-02-08,1
2011-02-08,3
2011-02-08,2
2011-02-08,39
2011-02-08,100
2011-02-08,243
2011-02-08,135
2011-02-08,48
2011-02-08,50
2011-02-08,65
2011-02-08,50
2011-02-08,64
2011-02-08,51
2011-02-08,83
2011-02-08,176
2011-02-08,152
2011-02-08,101
2011-02-08,56
2011-02-08,54
2011-02-08,29
2011-02-08,12
2011-02-09,17
2011-02-09,7
2011-02-09,3
2011-02-09,2
2011-02-09,7
2011-02-09,43
2011-02-09,99
2011-02-09,199
2011-02-09,123
2011-02-09,59
2011-02-09,41
2011-02-09,61
2011-02-09,69
2011-02-09,58
2011-02-09,64
2011-02-09,79
2011-02-09,166
2011-02-09,170
2011-02-09,88
2011-02-09,84
2011-02-09,83
2011-02-09,46
2011-02-09,37
2011-02-10,16
2011-02-10,7
2011-02-10,3
2011-02-10,1
2011-02-10,6
2011-02-10,26
2011-02-10,99
2011-02-10,178
2011-02-10,122
2011-02-10,35
2011-02-10,45
2011-02-10,69
2011-02-10,62
2011-02-10,48
2011-02-10,50
2011-02-10,80
2011-02-10,165
2011-02-10,160
2011-02-10,112
2011-02-10,97
2011-02-10,72
2011-02-10,51
2011-02-10,34
2011-02-11,14
2011-02-11,7
2011-02-11,3
2011-02-11,4
2011-02-11,24
2011-02-11,74
2011-02-11,216
2011-02-11,140
2011-02-11,44
2011-02-11,64
2011-02-11,71
2011-02-11,110
2011-02-11,84
2011-02-11,74
2011-02-11,125
2011-02-11,211
2011-02-11,174
2011-02-11,101
2011-02-11,63
2011-02-11,47
2011-02-11,43
2011-02-11,53
2011-02-12,30
2011-02-12,24
2011-02-12,15
2011-02-12,10
2011-02-12,4
2011-02-12,1
2011-02-12,2
2011-02-12,11
2011-02-12,30
2011-02-12,43
2011-02-12,84
2011-02-12,114
2011-02-12,120
2011-02-12,135
2011-02-12,120
2011-02-12,174
2011-02-12,145
2011-02-12,137
2011-02-12,64
2011-02-12,41
2011-02-12,40
2011-02-12,51
2011-02-12,45
2011-02-12,32
2011-02-13,39
2011-02-13,24
2011-02-13,20
2011-02-13,12
2011-02-13,2
2011-02-13,5
2011-02-13,3
2011-02-13,12
2011-02-13,47
2011-02-13,105
2011-02-13,112
2011-02-13,152
2011-02-13,154
2011-02-13,161
2011-02-13,162
2011-02-13,134
2011-02-13,125
2011-02-13,95
2011-02-13,61
2011-02-13,47
2011-02-13,51
2011-02-13,36
2011-02-13,30
2011-02-14,11
2011-02-14,7
2011-02-14,2
2011-02-14,2
2011-02-14,2
2011-02-14,3
2011-02-14,26
2011-02-14,98
2011-02-14,256
2011-02-14,130
2011-02-14,55
2011-02-14,53
2011-02-14,126
2011-02-14,120
2011-02-14,90
2011-02-14,90
2011-02-14,118
2011-02-14,243
2011-02-14,205
2011-02-14,98
2011-02-14,70
2011-02-14,43
2011-02-14,45
2011-02-14,20
2011-02-15,19
2011-02-15,5
2011-02-15,3
2011-02-15,1
2011-02-15,4
2011-02-15,30
2011-02-15,105
2011-02-15,223
2011-02-15,110
2011-02-15,52
2011-02-15,57
2011-02-15,71
2011-02-15,82
2011-02-15,79
2011-02-15,85
2011-02-15,98
2011-02-15,206
2011-02-15,212
2011-02-15,145
2011-02-15,101
2011-02-15,66
2011-02-15,41
2011-02-15,20
2011-02-16,15
2011-02-16,9
2011-02-16,1
2011-02-16,1
2011-02-16,5
2011-02-16,33
2011-02-16,108
2011-02-16,230
2011-02-16,124
2011-02-16,69
2011-02-16,66
2011-02-16,86
2011-02-16,93
2011-02-16,82
2011-02-16,117
2011-02-16,122
2011-02-16,255
2011-02-16,222
2011-02-16,161
2011-02-16,118
2011-02-16,92
2011-02-16,73
2011-02-16,33
2011-02-17,17
2011-02-17,6
2011-02-17,6
2011-02-17,4
2011-02-17,4
2011-02-17,12
2011-02-17,47
2011-02-17,126
2011-02-17,285
2011-02-17,179
2011-02-17,88
2011-02-17,90
2011-02-17,101
2011-02-17,123
2011-02-17,81
2011-02-17,106
2011-02-17,146
2011-02-17,274
2011-02-17,222
2011-02-17,175
2011-02-17,139
2011-02-17,124
2011-02-17,76
2011-02-17,44
2011-02-18,32
2011-02-18,8
2011-02-18,7
2011-02-18,8
2011-02-18,1
2011-02-18,7
2011-02-18,50
2011-02-18,116
2011-02-18,272
2011-02-18,169
2011-02-18,95
2011-02-18,113
2011-02-18,185
2011-02-18,176
2011-02-18,191
2011-02-18,172
2011-02-18,232
2011-02-18,327
2011-02-18,224
2011-02-18,162
2011-02-18,124
2011-02-18,72
2011-02-18,107
2011-02-18,77
2011-02-19,29
2011-02-19,31
2011-02-19,17
2011-02-19,7
2011-02-19,3
2011-02-19,3
2011-02-19,6
2011-02-19,22
2011-02-19,45
2011-02-19,55
2011-02-19,106
2011-02-19,123
2011-02-19,119
2011-02-19,155
2011-02-19,196
2011-02-19,171
2011-02-19,120
2011-02-19,127
2011-02-19,88
2011-02-19,59
2011-02-19,47
2011-02-19,33
2011-02-19,44
2011-02-19,29
2011-02-20,17
2011-02-20,16
2011-02-20,17
2011-02-20,18
2011-02-20,1
2011-02-20,2
2011-02-20,2
2011-02-20,24
2011-02-20,55
2011-02-20,104
2011-02-20,161
2011-02-20,182
2011-02-20,198
2011-02-20,212
2011-02-20,168
2011-02-20,147
2011-02-20,146
2011-02-20,101
2011-02-20,42
2011-02-20,42
2011-02-20,56
2011-02-20,47
2011-02-20,54
2011-02-21,37
2011-02-21,13
2011-02-21,4
2011-02-21,5
2011-02-21,1
2011-02-21,3
2011-02-21,8
2011-02-21,19
2011-02-21,63
2011-02-21,57
2011-02-21,81
2011-02-21,90
2011-02-21,93
2011-02-21,103
2011-02-21,116
2011-02-21,87
2011-02-21,56
2011-02-21,80
2011-02-21,66
2011-02-21,49
2011-02-21,29
2011-02-21,34
2011-02-21,11
2011-02-21,2
2011-02-22,7
2011-02-22,40
2011-02-22,114
2011-02-22,106
2011-02-22,44
2011-02-22,50
2011-02-22,55
2011-02-22,55
2011-02-22,58
2011-02-22,69
2011-02-22,86
2011-02-22,196
2011-02-22,167
2011-02-22,118
2011-02-22,105
2011-02-22,82
2011-02-22,77
2011-02-22,21
2011-02-23,6
2011-02-23,4
2011-02-23,1
2011-02-23,2
2011-02-23,8
2011-02-23,36
2011-02-23,96
2011-02-23,235
2011-02-23,139
2011-02-23,51
2011-02-23,69
2011-02-23,67
2011-02-23,87
2011-02-23,78
2011-02-23,72
2011-02-23,94
2011-02-23,222
2011-02-23,209
2011-02-23,141
2011-02-23,109
2011-02-23,91
2011-02-23,61
2011-02-23,39
2011-02-24,11
2011-02-24,7
2011-02-24,4
2011-02-24,2
2011-02-24,4
2011-02-24,58
2011-02-24,104
2011-02-24,252
2011-02-24,137
2011-02-24,57
2011-02-24,79
2011-02-24,95
2011-02-24,88
2011-02-24,69
2011-02-24,63
2011-02-24,71
2011-02-24,177
2011-02-24,137
2011-02-24,115
2011-02-24,89
2011-02-24,83
2011-02-24,55
2011-02-24,50
2011-02-25,9
2011-02-25,10
2011-02-25,3
2011-02-25,2
2011-02-25,6
2011-02-25,11
2011-02-25,35
2011-02-25,73
2011-02-25,114
2011-02-25,49
2011-02-25,59
2011-02-25,115
2011-02-25,83
2011-02-25,85
2011-02-25,55
2011-02-25,102
2011-02-25,189
2011-02-25,157
2011-02-25,90
2011-02-25,62
2011-02-25,63
2011-02-25,50
2011-02-25,39
2011-02-26,28
2011-02-26,27
2011-02-26,12
2011-02-26,8
2011-02-26,2
2011-02-26,10
2011-02-26,7
2011-02-26,22
2011-02-26,57
2011-02-26,74
2011-02-26,85
2011-02-26,126
2011-02-26,160
2011-02-26,174
2011-02-26,211
2011-02-26,165
2011-02-26,171
2011-02-26,183
2011-02-26,137
2011-02-26,94
2011-02-26,68
2011-02-26,68
2011-02-26,46
2011-02-26,34
2011-02-27,34
2011-02-27,37
2011-02-27,22
2011-02-27,11
2011-02-27,2
2011-02-27,3
2011-02-27,14
2011-02-27,35
2011-02-27,59
2011-02-27,103
2011-02-27,125
2011-02-27,193
2011-02-27,259
2011-02-27,282
2011-02-27,261
2011-02-27,268
2011-02-27,187
2011-02-27,127
2011-02-27,102
2011-02-27,81
2011-02-27,69
2011-02-27,69
2011-02-27,59
2011-02-28,30
2011-02-28,8
2011-02-28,1
2011-02-28,5
2011-02-28,28
2011-02-28,92
2011-02-28,255
2011-02-28,142
2011-02-28,92
2011-02-28,87
2011-02-28,36
2011-02-28,32
2011-02-28,25
2011-02-28,35
2011-02-28,42
2011-02-28,79
2011-02-28,131
2011-02-28,80
2011-02-28,45
2011-02-28,80
2011-02-28,76
2011-02-28,45
2011-03-01,7
2011-03-01,3
2011-03-01,4
2011-03-01,2
2011-03-01,1
2011-03-01,2
2011-03-01,46
2011-03-01,107
2011-03-01,214
2011-03-01,124
2011-03-01,68
2011-03-01,56
2011-03-01,86
2011-03-01,78
2011-03-01,79
2011-03-01,64
2011-03-01,102
2011-03-01,242
2011-03-01,224
2011-03-01,119
2011-03-01,88
2011-03-01,63
2011-03-01,47
2011-03-01,25
2011-03-02,8
2011-03-02,4
2011-03-02,2
2011-03-02,4
2011-03-02,1
2011-03-02,5
2011-03-02,40
2011-03-02,110
2011-03-02,256
2011-03-02,148
2011-03-02,76
2011-03-02,73
2011-03-02,82
2011-03-02,125
2011-03-02,96
2011-03-02,110
2011-03-02,139
2011-03-02,268
2011-03-02,201
2011-03-02,150
2011-03-02,95
2011-03-02,71
2011-03-02,48
2011-03-02,22
2011-03-03,13
2011-03-03,1
2011-03-03,3
2011-03-03,1
2011-03-03,1
2011-03-03,8
2011-03-03,35
2011-03-03,111
2011-03-03,220
2011-03-03,145
2011-03-03,56
2011-03-03,50
2011-03-03,72
2011-03-03,80
2011-03-03,78
2011-03-03,68
2011-03-03,71
2011-03-03,202
2011-03-03,167
2011-03-03,106
2011-03-03,70
2011-03-03,51
2011-03-03,53
2011-03-03,23
2011-03-04,12
2011-03-04,4
2011-03-04,2
2011-03-04,1
2011-03-04,1
2011-03-04,7
2011-03-04,29
2011-03-04,83
2011-03-04,228
2011-03-04,150
2011-03-04,66
2011-03-04,89
2011-03-04,97
2011-03-04,87
2011-03-04,95
2011-03-04,106
2011-03-04,118
2011-03-04,228
2011-03-04,187
2011-03-04,107
2011-03-04,87
2011-03-04,70
2011-03-04,44
2011-03-04,46
2011-03-05,19
2011-03-05,25
2011-03-05,20
2011-03-05,2
2011-03-05,1
2011-03-05,3
2011-03-05,4
2011-03-05,15
2011-03-05,45
2011-03-05,63
2011-03-05,103
2011-03-05,159
2011-03-05,167
2011-03-05,190
2011-03-05,198
2011-03-05,205
2011-03-05,204
2011-03-05,164
2011-03-05,152
2011-03-05,89
2011-03-05,70
2011-03-05,72
2011-03-05,63
2011-03-05,44
2011-03-06,52
2011-03-06,39
2011-03-06,32
2011-03-06,11
2011-03-06,3
2011-03-06,2
2011-03-06,5
2011-03-06,9
2011-03-06,22
2011-03-06,31
2011-03-06,62
2011-03-06,79
2011-03-06,105
2011-03-06,39
2011-03-06,7
2011-03-06,11
2011-03-06,25
2011-03-06,23
2011-03-06,11
2011-03-06,11
2011-03-06,7
2011-03-06,10
2011-03-06,9
2011-03-07,4
2011-03-07,2
2011-03-07,1
2011-03-07,1
2011-03-07,1
2011-03-07,34
2011-03-07,91
2011-03-07,211
2011-03-07,134
2011-03-07,58
2011-03-07,60
2011-03-07,96
2011-03-07,70
2011-03-07,77
2011-03-07,96
2011-03-07,122
2011-03-07,233
2011-03-07,233
2011-03-07,145
2011-03-07,92
2011-03-07,54
2011-03-07,35
2011-03-07,22
2011-03-08,10
2011-03-08,4
2011-03-08,1
2011-03-08,7
2011-03-08,2
2011-03-08,10
2011-03-08,45
2011-03-08,128
2011-03-08,257
2011-03-08,151
2011-03-08,71
2011-03-08,78
2011-03-08,99
2011-03-08,98
2011-03-08,72
2011-03-08,112
2011-03-08,108
2011-03-08,248
2011-03-08,235
2011-03-08,150
2011-03-08,76
2011-03-08,75
2011-03-08,55
2011-03-08,41
2011-03-09,9
2011-03-09,4
2011-03-09,2
2011-03-09,3
2011-03-09,2
2011-03-09,8
2011-03-09,49
2011-03-09,141
2011-03-09,249
2011-03-09,141
2011-03-09,57
2011-03-09,59
2011-03-09,98
2011-03-09,99
2011-03-09,71
2011-03-09,79
2011-03-09,112
2011-03-09,194
2011-03-09,188
2011-03-09,134
2011-03-09,91
2011-03-09,62
2011-03-09,21
2011-03-09,18
2011-03-10,3
2011-03-10,2
